id,bib_block,round,authors,year,title,venue,doi,other_dois,arxiv,grade,read_status,filed_stem,txt_on_disk,pdf_on_disk,multi_work_line,source_line,superseded_by_id,best_grade_for_work
107,"Adjacent-field theory (round 3, 2026-09-11; §4.12)",3,Bloch,2012,[bipolar morphology; title not captured],Int. J. Approx. Reasoning,10.1016/j.ijar.2012.05.003,,,METADATA,obtained-unread,Bloch_2012_mathematical-morphology-bipolar-fuzzy,yes,,,"Bloch (2012). [bipolar morphology; title not captured]. *Int. J. Approx. Reasoning*. doi:10.1016/j.ijar.2012.05.003 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Bloch_2012_mathematical-morphology-bipolar-fuzzy`.**",,METADATA
108,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Eldar,2009,Generalized SURE for Exponential Families: Applications to Regularization,IEEE Trans. Signal Processing,,,0804.3010,PRIMARY,reviewer-read,Eldar_2009_generalized-sure-exponential-families,yes,,,"Eldar (2009). Generalized SURE for Exponential Families: Applications to Regularization. *IEEE Trans. Signal Processing* 57; arXiv:0804.3010 — **PRIMARY**, reviewer-read (Thm 1, eq. 16; intro on the independent/discrete cases). Filed `Eldar_2009_generalized-sure-exponential-families`.",,PRIMARY
109,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Chaux, Duval, Benazza-Benyahia & Pesquet",2008,A Nonlinear Stein-Based Estimator for Multichannel Image Denoising,IEEE Trans. Signal Processing,,,0712.2317,PRIMARY,reviewer-read,Chaux_2008_nonlinear-stein-based-estimator,yes,,,"Chaux, Duval, Benazza-Benyahia & Pesquet (2008). A Nonlinear Stein-Based Estimator for Multichannel Image Denoising. *IEEE Trans. Signal Processing*; arXiv:0712.2317 — **PRIMARY**, reviewer-read (Prop. 1, eq. 24). Filed `Chaux_2008_nonlinear-stein-based-estimator`.",,PRIMARY
110,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Hudson,1978,A Natural Identity for Exponential Families with Applications in Multiparameter Estimation,Ann. Statist.,10.1214/aos/1176344194,,,PRIMARY,reviewer-read,Hudson_1978_natural-identity-exponential-families,yes,,,"Hudson (1978). A Natural Identity for Exponential Families with Applications in Multiparameter Estimation. *Ann. Statist.* 6(3):473–484. doi:10.1214/aos/1176344194 — **PRIMARY**, reviewer-read as page images pp. 474–476 (JSTOR scan; no text layer). Filed `Hudson_1978_natural-identity-exponential-families`.",,PRIMARY
111,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Hwang,1982,Improving Upon Standard Estimators in Discrete Exponential Families with Applications to Poisson and Negative Binomial Cases,Ann. Statist.,10.1214/aos/1176345876,,,PRIMARY,reviewer-read,Hwang_1982_improving-upon-standard-estimators,yes,,,"Hwang (1982). Improving Upon Standard Estimators in Discrete Exponential Families with Applications to Poisson and Negative Binomial Cases. *Ann. Statist.* 10(3). doi:10.1214/aos/1176345876 — **PRIMARY**, reviewer-read as page images pp. 858–859 (JSTOR scan). Filed `Hwang_1982_improving-upon-standard-estimators`.",,PRIMARY
112,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Efron,2021,Resampling Plans and the Estimation of Prediction Error,Stats,10.3390/stats4040063,,,PRIMARY,reviewer-read,Efron_2021_resampling-plans-estimation-prediction,yes,,,"Efron (2021). Resampling Plans and the Estimation of Prediction Error. *Stats* 4(4). doi:10.3390/stats4040063 — **PRIMARY**, reviewer-read (§4, eqs. 64–77 and 90; the author's restatement of the 2004 Optimism Theorem and its assumptions). Filed `Efron_2021_resampling-plans-estimation-prediction` (author's page).",,PRIMARY
113,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Batson & Royer,2019,Noise2Self,,,,1901.11365,PRIMARY,,,yes,,,"Batson & Royer (2019). Noise2Self. arXiv:1901.11365 — **PRIMARY** (round 3); filed this round `Batson_2019_noise2self-blind-denoising-self`, not re-read.",,PRIMARY
114,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Valavi, Elith, Lahoz-Monfort & Guillera-Arroita",2018,blockCV: an R package for generating spatially or environmentally separated folds for k-fold cross-validation of species distribution models,,,,,PRIMARY,reviewer-read,Valavi_2018_blockcv-r-package-generating-spatially,yes,,,"Valavi, Elith, Lahoz-Monfort & Guillera-Arroita (2018). blockCV: an R package for generating spatially or environmentally separated folds for k-fold cross-validation of species distribution models. bioRxiv 357798 (published *Methods Ecol. Evol.* 2019) — **PRIMARY**, reviewer-read (block-size section",,PRIMARY
115,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Broaddus, Krull, Weigert, Schmidt & Myers",2020,Removing Structured Noise with Self-Supervised Blind-Spot Networks,IEEE ISBI 2020,,,,ABSTRACT,,,yes,,,"Broaddus, Krull, Weigert, Schmidt & Myers (2020). Removing Structured Noise with Self-Supervised Blind-Spot Networks. *IEEE ISBI 2020* — **ABSTRACT** (no OA PDF resolved: EPFL Infoscience record JS-only).",191,PRIMARY
116,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Roberts et al.,2017,"Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",Ecography,,,,METADATA,,,no,,,"Roberts et al. (2017). Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure. *Ecography* 40(8) — **METADATA** (closed).",,METADATA
117,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Conley,1999,GMM estimation with cross sectional dependence,J. Econometrics,,,,METADATA,,,no,,,Conley (1999). GMM estimation with cross sectional dependence. *J. Econometrics* 92(1) — **METADATA** (closed).,,METADATA
118,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Chan & Esedoglu,2005,Aspects of Total Variation Regularized L¹ Function Approximation,SIAM J. Appl. Math.,,,,PRIMARY,reviewer-read,Chan_2005_aspects-total-variation-regularized-l,yes,,,"Chan & Esedoglu (2005). Aspects of Total Variation Regularized L¹ Function Approximation. *SIAM J. Appl. Math.* 65(5):1817–1837 — **PRIMARY**, reviewer-read (§3 disc example) from UCLA CAM report 04-07. Filed `Chan_2005_aspects-total-variation-regularized-l`.",,PRIMARY
119,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Duval, Aujol & Gousseau",2009,The TVL1 Model: A Geometric Point of View,Multiscale Model. Simul.,,,,PRIMARY,reviewer-read,Duval_2009_tvl1-model-geometric-point-view,yes,,,"Duval, Aujol & Gousseau (2009). The TVL1 Model: A Geometric Point of View. *Multiscale Model. Simul.* 8(1):154–189; HAL hal-00380195 — **PRIMARY**, reviewer-read (abstract, §5.1, Thm 3.6). Filed `Duval_2009_tvl1-model-geometric-point-view`.",,PRIMARY
120,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Vixie,2007,Some properties of minimizers for the Chan-Esedoglu L1TV functional,,,,0710.3980,PRIMARY,reviewer-read,Vixie_2007_some-properties-minimizers-chan-esedoglu,yes,,,"Vixie (2007). Some properties of minimizers for the Chan-Esedoglu L1TV functional. arXiv:0710.3980 — **PRIMARY**, reviewer-read (p. 13 as page image; the text layer drops symbols). Filed `Vixie_2007_some-properties-minimizers-chan-esedoglu`.",,PRIMARY
121,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Allard,2007,Total variation regularization for image denoising; I,,,,,METADATA,obtained-unread,Allard_2007_total-variation-regularization-image,yes,,,"Allard (2007). Total variation regularization for image denoising; I. Geometric Theory. *SIAM J. Math. Anal.* — **METADATA** (via Vixie's reference list; not located OA). **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Allard_200",,METADATA
122,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Bellettini, Caselles & Novaga",2002,The Total Variation Flow in R^N,J. Differential Equations,,,,UNREADABLE,,Bellettini_2002_total-variation-flow,yes,,,"Bellettini, Caselles & Novaga (2002). The Total Variation Flow in R^N. *J. Differential Equations* 184(2):475–525 — **UNREADABLE** at round 4 (the `.txt` extract was garbled under `pdftotext` and `pypdf`; the PDF itself is byte-identical to the clean copy). Filed `Bellettini_2002_total-variation-flow` (duplicate PDF quarantined, merged 2026-09-13).",193,UNREADABLE
123,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Kolmogorov & Boykov,2005,"What Metrics Can Be Approximated by Geo-Cuts, or Global Optimization of Length/Area and Flux",ICCV 2005,,,,PRIMARY,searcher-read,Kolmogorov_2005_what-metrics-can-be-approximated,yes,,,"Kolmogorov & Boykov (2005). What Metrics Can Be Approximated by Geo-Cuts, or Global Optimization of Length/Area and Flux. *ICCV 2005* — **PRIMARY**, searcher-read (negative: no closed-form flip threshold). Filed `Kolmogorov_2005_what-metrics-can-be-approximated`.",,PRIMARY
124,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Krähenbühl & Koltun,2011,— **PRIMARY** (round 3); re-filed `Krahenbuhl_2011_efficient-inference-fully-connected`; searcher grep for an erasure result: none.,,,,,PRIMARY,,Krahenbuhl_2011_efficient-inference-fully-connected,yes,,,Krähenbühl & Koltun (2011) — **PRIMARY** (round 3); re-filed `Krahenbuhl_2011_efficient-inference-fully-connected`; searcher grep for an erasure result: none.,,PRIMARY
125,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Vincent,1993,"Grayscale area openings and closings, their efficient implementation and applications",Proc. Mathematical Morphology and its Applications to Signal Processing,,,,METADATA,obtained-unread,Vincent_1993_grayscale-area-openings-closings,yes,,,"Vincent (1993). Grayscale area openings and closings, their efficient implementation and applications. *Proc. Mathematical Morphology and its Applications to Signal Processing* — **METADATA**. **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until r",,METADATA
126,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Gallagher & Wise,1981,A theoretical analysis of the properties of median filters,"IEEE Trans. Acoustics, Speech, and Signal Processing",10.1109/TASSP.1981.1163708,,,PRIMARY,reviewer-read,Gallagher_1981_theoretical-analysis-properties,yes,,,"Gallagher & Wise (1981). A theoretical analysis of the properties of median filters. *IEEE Trans. Acoustics, Speech, and Signal Processing* 29(6). doi:10.1109/TASSP.1981.1163708 — **PRIMARY**, reviewer-read (Theorem I and definitions). Filed `Gallagher_1981_theoretical-analysis-properties` (Sci-Hub).",,PRIMARY
127,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Maragos,1989,[pattern spectrum; title not captured] — **METADATA**,,,,,METADATA,obtained-unread,Maragos_1989_pattern-spectrum-multiscale-shape,yes,,,"Maragos (1989). [pattern spectrum; title not captured] — **METADATA**. **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Maragos_1989_pattern-spectrum-multiscale-shape`.**",,METADATA
128,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Baddeley & Turner,2005,spatstat: An R Package for Analyzing Spatial Point Patterns,J. Stat. Software,10.18637/jss.v012.i06,,,PRIMARY,reviewer-read,Baddeley_2005_spatstat-r-package-analyzing-spatial,yes,,,"Baddeley & Turner (2005). spatstat: An R Package for Analyzing Spatial Point Patterns. *J. Stat. Software* 12(6). doi:10.18637/jss.v012.i06 — **PRIMARY**, reviewer-read (fitting method; canonical vs irregular parameters). Filed `Baddeley_2005_spatstat-r-package-analyzing-spatial`.",,PRIMARY
129,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Hilbert, Roman et al.",2019,Urban Tree Mortality: A Literature Review,Arboriculture & Urban Forestry,10.48044/jauf.2019.015,,,PRIMARY,reviewer-read,Hilbert_2019_urban-tree-mortality-literature-review,yes,,,"Hilbert, Roman et al. (2019). Urban Tree Mortality: A Literature Review. *Arboriculture & Urban Forestry* 45(5):167–200. doi:10.48044/jauf.2019.015 — **PRIMARY**, reviewer-read (the permitting-data sentence). Filed `Hilbert_2019_urban-tree-mortality-literature-review`.",,PRIMARY
130,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Hauer, Miller & Ouimet",1994,Street Tree Decline and Construction Damage,J. Arboriculture,,,,PRIMARY,searcher-read,Hauer_1994_street-tree-decline-construction-damage,yes,,,"Hauer, Miller & Ouimet (1994). Street Tree Decline and Construction Damage. *J. Arboriculture* 20(2):94–97 — **PRIMARY**, searcher-read. Filed `Hauer_1994_street-tree-decline-construction-damage`.",,PRIMARY
131,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Hughes, Guttorp & Charles",1999,A Non-Homogeneous Hidden Markov Model for Precipitation Occurrence,J. R. Stat. Soc. C,10.1111/1467-9876.00136,,,PRIMARY,reviewer-read,Hughes_1999_non-homogeneous-hidden-markov-model,yes,,,"Hughes, Guttorp & Charles (1999). A Non-Homogeneous Hidden Markov Model for Precipitation Occurrence. *J. R. Stat. Soc. C* 48(1):15–30. doi:10.1111/1467-9876.00136 — **PRIMARY**, reviewer-read (transition parameterisation). Filed `Hughes_1999_non-homogeneous-hidden-markov-model`.",,PRIMARY
132,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Warfield, Zou & Wells",2004,Simultaneous Truth and Performance Level Estimation (STAPLE),IEEE Trans. Med. Imaging,,,,ABSTRACT,,,yes,,,"Warfield, Zou & Wells (2004). Simultaneous Truth and Performance Level Estimation (STAPLE). *IEEE Trans. Med. Imaging* 23(7):903–921 — **ABSTRACT** (PMC1283110, proof-of-work gated).",,ABSTRACT
133,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Verburg, de Nijs, Ritsema van Eck, Visser & de Jong",2004,A method to analyse neighbourhood characteristics of land use patterns,Comput. Environ. Urban Syst.,10.1016/j.compenvurbsys.2003.07.001,,,PRIMARY,reviewer-read,Verburg_2004_method-analyse-neighbourhood,yes,,,"Verburg, de Nijs, Ritsema van Eck, Visser & de Jong (2004). A method to analyse neighbourhood characteristics of land use patterns. *Comput. Environ. Urban Syst.* 28(6):667–690. doi:10.1016/j.compenvurbsys.2003.07.001 — **PRIMARY**, reviewer-read (§2.1, the enrichment-factor definition). Filed `Verb",,PRIMARY
134,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,Steenberg et al.,2017,— **METADATA** (named by Hilbert et al,,,,,METADATA,,,yes,,,Steenberg et al. (2017) — **METADATA** (named by Hilbert et al. 2019 for permitting data; not located by title).,,METADATA
135,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,"Roman, Fristensky, Lundgren, Cerwinka & Lubar",2022,Construction and Proactive Management Led to Tree Removals on an Urban College Campus,Forests,10.3390/f13060871,,,METADATA,obtained-unread,Roman_2022_construction-proactive-management-led,yes,,,"Roman, Fristensky, Lundgren, Cerwinka & Lubar (2022). Construction and Proactive Management Led to Tree Removals on an Urban College Campus. *Forests* 13(6):871. doi:10.3390/f13060871 — **METADATA** (MDPI 403). **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade",155,ABSTRACT
136,"Adjacent-field theory (round 4, 2026-09-12; §4.13)",4,,,"Zucchini, MacDonald & Langrock",Hidden Markov Models for Time Series,,,,METADATA,,,no,,,"Zucchini, MacDonald & Langrock. *Hidden Markov Models for Time Series* (CRC) — **METADATA** (book).",,METADATA
137,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Bell & Hinojosa,1977,Markov analysis of land use change: Continuous time and stationary processes,Socio-Economic Planning Sciences,10.1016/0038-0121(77,,,PRIMARY,reviewer-read,Bell_1977_markov-analysis-land-use-change,yes,,,"Bell & Hinojosa (1977). Markov analysis of land use change: Continuous time and stationary processes. *Socio-Economic Planning Sciences* 11(1):13–17. doi:10.1016/0038-0121(77)90041-6 — **PRIMARY**, reviewer-read. Filed `Bell_1977_markov-analysis-land-use-change`.",,PRIMARY
138,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Anderson & Goodman,1957,Statistical Inference about Markov Chains,Ann. Math. Statist.,10.1214/aoms/1177707039,,,PRIMARY,reviewer-read,Anderson_1957_statistical-inference-about-markov,yes,,,"Anderson & Goodman (1957). Statistical Inference about Markov Chains. *Ann. Math. Statist.* 28(1):89–. doi:10.1214/aoms/1177707039 — **PRIMARY**, reviewer-read as page images pp. 89–91 (scan, no text layer). Filed `Anderson_1957_statistical-inference-about-markov`.",,PRIMARY
139,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Takada, Miyamoto & Hasegawa",2010,Derivation of a yearly transition probability matrix for land-use dynamics and its applications,Landscape Ecology,10.1007/s10980-009-9433-x,,,METADATA,,,yes,,,"Takada, Miyamoto & Hasegawa (2010). Derivation of a yearly transition probability matrix for land-use dynamics and its applications. *Landscape Ecology* 25(4):561–572. doi:10.1007/s10980-009-9433-x — **METADATA** (closed; not in archive).",185,PRIMARY
140,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Hasegawa & Takada,2019,Probability of Deriving a Yearly Transition Probability Matrix for Land-Use Dynamics,Sustainability,10.3390/su11226355,,,ABSTRACT,obtained-unread,Hasegawa_2019_probability-deriving-yearly,yes,,,"Hasegawa & Takada (2019). Probability of Deriving a Yearly Transition Probability Matrix for Land-Use Dynamics. *Sustainability* 11(22):6355. doi:10.3390/su11226355 — **ABSTRACT** (MDPI 403; Hokkaido mirror unreachable). **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the review",,ABSTRACT
141,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Burnicki, Brown & Goovaerts",2007,Simulating error propagation in land-cover change analysis: the implications of temporal dependence,Comput. Environ. Urban Syst.,10.1016/j.compenvurbsys.2006.07.005,,,PRIMARY,reviewer-read,Burnicki_2007_simulating-error-propagation-land,yes,,,"Burnicki, Brown & Goovaerts (2007). Simulating error propagation in land-cover change analysis: the implications of temporal dependence. *Comput. Environ. Urban Syst.* 31(3):282–302. doi:10.1016/j.compenvurbsys.2006.07.005 — **PRIMARY**, reviewer-read (§5). Filed `Burnicki_2007_error_propagation_tem",,PRIMARY
142,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Burnicki,2011,Spatio-temporal errors in land-cover change analysis: implications for accuracy assessment,Int. J. Remote Sensing,10.1080/01431161.2010.524674,,,filed-unread,obtained-unread,Burnicki_2011_spatio-temporal-errors-land-cover,yes,,,"Burnicki (2011). Spatio-temporal errors in land-cover change analysis: implications for accuracy assessment. *Int. J. Remote Sensing* 32(22):7487–7512. doi:10.1080/01431161.2010.524674 — filed, unread (identity verified from the text header only; no grade until read). Filed `Burnicki_2011_spatiotemp",,filed-unread
143,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Burnicki, Brown & Goovaerts",2010,*Int,,10.1080/13658810903279008,10.1007/s10980-012-9719-2,,METADATA,,,yes,,,"Burnicki, Brown & Goovaerts (2010). *Int. J. Geogr. Inf. Sci.* 24(7). doi:10.1080/13658810903279008 — **METADATA**. Burnicki (2012). *Landscape Ecology*. doi:10.1007/s10980-012-9719-2 — **METADATA**.",201,ABSTRACT
144,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Geyer & Thompson,1992,Constrained Monte Carlo Maximum Likelihood for Dependent Data,J. R. Stat. Soc. B,10.1111/j.2517-6161.1992.tb01443.x,,,PRIMARY,reviewer-read,Geyer_1992_constrained-monte-carlo-maximum,yes,,,"Geyer & Thompson (1992). Constrained Monte Carlo Maximum Likelihood for Dependent Data. *J. R. Stat. Soc. B* 54(3):657–699. doi:10.1111/j.2517-6161.1992.tb01443.x — **PRIMARY**, reviewer-read (abstract and the normalising-constant passages). Filed `Geyer_1992_constrained-monte-carlo-maximum`.",,PRIMARY
145,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Besag,1974,Spatial Interaction and the Statistical Analysis of Lattice Systems,J. R. Stat. Soc. B,10.1111/j.2517-6161.1974.tb00999.x,,,METADATA,,,yes,,,Besag (1974). Spatial Interaction and the Statistical Analysis of Lattice Systems. *J. R. Stat. Soc. B* 36(2). doi:10.1111/j.2517-6161.1974.tb00999.x — **METADATA** (closed; not in archive).,184,PRIMARY
146,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Wolters & Dean,2017,Classification of Large-Scale Remote Sensing Images for Automatic Identification of Health Hazards,Statistics in Biosciences,10.1007/s12561-016-9185-5,,,PRIMARY,searcher-read,Wolters_2017a_classification-large-scale-remote,yes,,,"Wolters & Dean (2017). Classification of Large-Scale Remote Sensing Images for Automatic Identification of Health Hazards. *Statistics in Biosciences* 9. doi:10.1007/s12561-016-9185-5 — **PRIMARY**, searcher-read. Filed `Wolters_2017a_classification-large-scale-remote`.",,PRIMARY
147,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Wolters,2017,Better Autologistic Regression,Frontiers Appl. Math. Stat.,10.3389/fams.2017.00024,,,PRIMARY,searcher-read,Wolters_2017b_better-autologistic-regression,yes,,,"Wolters (2017). Better Autologistic Regression. *Frontiers Appl. Math. Stat.* 3:24. doi:10.3389/fams.2017.00024 — **PRIMARY**, searcher-read. Filed `Wolters_2017b_better-autologistic-regression`.",,PRIMARY
148,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Efron,2021,— see the round-4 block (§4.13.1).,,,,,,,,yes,,,Efron (2021) — see the round-4 block (§4.13.1).,,
149,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Steenberg, Robinson & Millward",2017,The influence of building renovation and rental housing on urban trees,J. Environ. Planning & Management,10.1080/09640568.2017.1326883,,,ABSTRACT,,,yes,,,"Steenberg, Robinson & Millward (2017). The influence of building renovation and rental housing on urban trees. *J. Environ. Planning & Management* 61(3):553–567. doi:10.1080/09640568.2017.1326883 — **ABSTRACT** (closed; not in archive).",189,PRIMARY
150,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Steenberg, Robinson & Duinker",2018,*Environment and Planning B*,,10.1177/2399808317752927,,,METADATA,,,yes,,,"Steenberg, Robinson & Duinker (2018). *Environment and Planning B*. doi:10.1177/2399808317752927 — **METADATA**.",196,PRIMARY
151,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Guo, Morgenroth & Conway",2018,Redeveloping the urban forest: The effect of redevelopment and property-scale variables on tree removal and retention,Urban Forestry & Urban Greening,10.1016/j.ufug.2018.08.012,,,ABSTRACT,,,yes,,,"Guo, Morgenroth & Conway (2018). Redeveloping the urban forest: The effect of redevelopment and property-scale variables on tree removal and retention. *Urban Forestry & Urban Greening*. doi:10.1016/j.ufug.2018.08.012 — **ABSTRACT**.",190,PRIMARY
152,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Guo, Morgenroth, Conway & Xu",2019,"City-wide canopy cover decline due to residential property redevelopment in Christchurch, New Zealand",Sci. Total Environ.,10.1016/j.scitotenv.2019.05.122,,,ABSTRACT,,,yes,,,"Guo, Morgenroth, Conway & Xu (2019). City-wide canopy cover decline due to residential property redevelopment in Christchurch, New Zealand. *Sci. Total Environ.* doi:10.1016/j.scitotenv.2019.05.122 — **ABSTRACT**.",195,PRIMARY
153,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Morgenroth, O'Neil-Dunne & Apiolaza",2017,Redevelopment and the urban forest: A study of tree removal and retention during demolition activities,Applied Geography,10.1016/j.apgeog.2017.02.011,,,METADATA,,,yes,,,"Morgenroth, O'Neil-Dunne & Apiolaza (2017). Redevelopment and the urban forest: A study of tree removal and retention during demolition activities. *Applied Geography*. doi:10.1016/j.apgeog.2017.02.011 — **METADATA** (numbers via Hilbert et al. 2019's table).",194,PRIMARY
154,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Conway, Khatib, Tetreult & Almas",2022,"A Private Tree By-Law's Contribution to Maintaining a Diverse Urban Forest: Exploring Homeowners' Replanting Compliance and the Role of Construction Activities in Toronto, Canada",Arboriculture & Urban Forestry,10.48044/jauf.2022.002,,,PRIMARY,reviewer-read,Conway_2022_private-tree-law-s-contribution,yes,,,"Conway, Khatib, Tetreult & Almas (2022). A Private Tree By-Law's Contribution to Maintaining a Diverse Urban Forest: Exploring Homeowners' Replanting Compliance and the Role of Construction Activities in Toronto, Canada. *Arboriculture & Urban Forestry* 48(2). doi:10.48044/jauf.2022.002 — **PRIMARY*",,PRIMARY
155,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Roman, Fristensky, Lundgren, Cerwinka & Lubar",2022,Construction and Proactive Management Led to Tree Removals on an Urban College Campus,Forests,10.3390/f13060871,,,ABSTRACT,,,yes,,,"Roman, Fristensky, Lundgren, Cerwinka & Lubar (2022). Construction and Proactive Management Led to Tree Removals on an Urban College Campus. *Forests* 13(6):871. doi:10.3390/f13060871 — **ABSTRACT** (MDPI 403).",,ABSTRACT
156,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Ock, Shandas, Ribeiro & Young",2024,"Drivers of Tree Canopy Loss in a Mid-Sized Growing City: Case Study in Portland, OR (USA)",Sustainability,10.3390/su16051803,,,ABSTRACT,obtained-unread,Ock_2024_drivers-tree-canopy-loss-mid,yes,,,"Ock, Shandas, Ribeiro & Young (2024). Drivers of Tree Canopy Loss in a Mid-Sized Growing City: Case Study in Portland, OR (USA). *Sustainability* 16(5):1803. doi:10.3390/su16051803 — **ABSTRACT** (MDPI 403). **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade un",,ABSTRACT
157,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Pedley & Morgenroth,2025,*Sustainable Cities and Society*,,10.1016/j.scs.2025.106678,10.1016/j.landurbplan.2024.105187,,METADATA,obtained-unread,Locke_2025_sub-parcel-scale-analysis-needed,yes,,yes,"Pedley & Morgenroth (2025). *Sustainable Cities and Society*. doi:10.1016/j.scs.2025.106678 — **METADATA**. Locke, Ossola, Schmit & Grove (2024). *Landscape and Urban Planning*. doi:10.1016/j.landurbplan.2024.105187 — **METADATA**. **Obtained 2026-09-12 (acquisition pass), header-verified, unread by",35,PRIMARY
158,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,Hilbert et al.,2019,", Hauer et al",,,,,,,,no,,,"Hilbert et al. (2019), Hauer et al. (1994) — round-4 block; re-read this round.",,
159,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Girard, Charpiat & Tarabalka",2019a,Noisy Supervision for Correcting Misaligned Cadaster Maps Without Perfect Ground Truth Data,IGARSS 2019,10.1109/igarss.2019.8898071,,1903.06529,PRIMARY,reviewer-read,Girard_2019b_noisy-supervision-correcting,yes,,,"Girard, Charpiat & Tarabalka (2019a). Noisy Supervision for Correcting Misaligned Cadaster Maps Without Perfect Ground Truth Data. *IGARSS 2019*; arXiv:1903.06529. doi:10.1109/igarss.2019.8898071 — **PRIMARY**, reviewer-read (model paragraph). Filed `Girard_2019b_noisy-supervision-correcting`.",,PRIMARY
160,"Adjacent-field theory (round 5, 2026-09-12; §4.14)",5,"Vargas-Muñoz, Chiang, Tuia et al.",2019,Correcting rural building annotations in OpenStreetMap using convolutional neural networks,ISPRS J. Photogramm. Remote Sens.,10.1016/j.isprsjprs.2018.11.010,,1901.08190,PRIMARY,reviewer-read,VargasMunoz_2019_correcting-rural-building,yes,,,"Vargas-Muñoz, Chiang, Tuia et al. (2019). Correcting rural building annotations in OpenStreetMap using convolutional neural networks. *ISPRS J. Photogramm. Remote Sens.*; arXiv:1901.08190. doi:10.1016/j.isprsjprs.2018.11.010 — **PRIMARY**, reviewer-read (alignment section). Filed `VargasMunoz_2019_C",,PRIMARY
